dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452452,0.697443,0.000125,0.012499,0.624960,31.247976,0.000058
0.020000,0.452452,0.697443,0.000625,0.037498,1.249919,31.247976,0.000038
0.020000,0.452486,0.697443,0.001625,0.062496,1.249919,0.000000,6.283184
0.020000,0.453986,0.697443,0.003125,0.087494,1.249919,0.000000,6.283124
0.020000,0.455986,0.697443,0.005125,0.112493,1.249919,0.000000,6.283045
0.020000,0.458486,0.697442,0.007625,0.137491,1.249919,-0.000000,6.282946
0.020000,0.461486,0.697441,0.010624,0.162489,1.249919,0.000000,6.282827
0.020000,0.464985,0.697440,0.014124,0.187488,1.249919,-0.000000,6.282689
0.020000,0.468985,0.697437,0.018124,0.212486,1.249919,0.000000,6.282532
0.020000,0.473485,0.697434,0.022624,0.237485,1.249919,0.000000,6.282356
0.020000,0.478485,0.697429,0.027623,0.262483,1.249919,0.000000,6.282161
0.020000,0.483984,0.697423,0.033123,0.287481,1.249919,0.000000,6.281947
0.020000,0.489984,0.697415,0.039122,0.312480,1.249919,0.000000,6.281714
0.020000,0.496483,0.697405,0.045622,0.337478,1.249919,-0.000000,6.281464
0.020000,0.503483,0.697392,0.052622,0.362477,1.249919,0.000000,6.281196
0.020000,0.510982,0.697376,0.060121,0.387475,1.249919,-0.000000,6.280910
0.020000,0.518982,0.697356,0.068121,0.412473,1.249919,-0.000000,6.280607
0.020000,0.527481,0.697333,0.076620,0.437472,1.249919,0.000000,6.280287
0.020000,0.536481,0.697305,0.085619,0.462470,1.249919,-0.000000,6.279951
0.020000,0.545980,0.697273,0.095119,0.487468,1.249919,-0.000000,6.279599
0.020000,0.555979,0.697235,0.105118,0.512467,1.249919,0.000000,6.279231
0.020000,0.566478,0.697192,0.115618,0.537465,1.249919,0.000000,6.278848
0.020000,0.577478,0.697142,0.126617,0.562464,1.249919,0.000000,6.278450
0.020000,0.588977,0.697085,0.138116,0.587462,1.249919,0.000000,6.278039
0.020000,0.600976,0.697021,0.150115,0.612460,1.249919,0.000000,6.277613
0.020000,0.613475,0.696948,0.162614,0.637459,1.249919,0.000000,6.277175
0.020000,0.626474,0.696867,0.175614,0.662457,1.249919,0.000000,6.276724
0.020000,0.639973,0.696777,0.189113,0.687455,1.249919,0.000000,6.276261
0.020000,0.653971,0.696677,0.203112,0.712454,1.249919,0.000000,6.275786
0.020000,0.668470,0.696566,0.217611,0.737452,1.249919,-0.000000,6.275301
0.020000,0.683468,0.696444,0.232610,0.762451,1.249919,0.000000,6.274806
0.020000,0.698967,0.696310,0.248109,0.787449,1.249919,0.000000,6.274302
0.020000,0.714965,0.696164,0.264108,0.812447,1.249919,-0.000000,6.273789
0.020000,0.731463,0.696005,0.280607,0.837446,1.249919,0.000000,6.273268
0.020000,0.748461,0.695831,0.297606,0.862444,1.249919,0.000000,6.272740
0.020000,0.765959,0.695644,0.315105,0.887443,1.249919,-0.000000,6.272205
0.020000,0.783957,0.695441,0.333103,0.912441,1.249919,0.000000,6.271665
0.020000,0.802454,0.695223,0.351602,0.937439,1.249919,0.000000,6.271120
0.020000,0.821452,0.694989,0.370601,0.962438,1.249919,0.000000,6.270571
0.020000,0.840949,0.694738,0.390100,0.987436,1.249919,-0.000000,6.270019
0.020000,0.860946,0.694469,0.410098,1.012434,1.249919,-0.000000,6.269465
0.020000,0.881442,0.694182,0.430597,1.037433,1.249919,0.000000,6.268909
0.020000,0.902439,0.693876,0.451596,1.062431,1.249919,0.000000,6.268353
0.020000,0.923935,0.693551,0.473094,1.087430,1.249919,0.000000,6.267798
0.020000,0.945931,0.693207,0.495093,1.112428,1.249919,0.000000,6.267244
0.020000,0.968426,0.692842,0.517591,1.137426,1.249919,0.000000,6.266693
0.020000,0.991422,0.692456,0.540590,1.162425,1.249919,0.000000,6.266145
0.020000,1.014917,0.692049,0.564088,1.187423,1.249919,0.000000,6.265602
0.020000,1.038911,0.691621,0.588087,1.212421,1.249919,0.000000,6.265065
0.020000,1.063406,0.691170,0.612585,1.237420,1.249919,0.000000,6.264535
0.020000,1.088399,0.690698,0.637584,1.262418,1.249919,-0.000000,6.264012
0.020000,1.113893,0.690202,0.663082,1.287417,1.249919,0.000000,6.263499
0.020000,1.139886,0.689684,0.689080,1.312415,1.249919,-0.000000,6.262995
0.020000,1.166379,0.689142,0.715579,1.337413,1.249919,0.000000,6.262503
0.020000,1.193371,0.688577,0.742577,1.362412,1.249919,0.000000,6.262024
0.020000,1.220863,0.687989,0.770075,1.387410,1.249919,-0.000000,6.261558
0.020000,1.248855,0.687377,0.798073,1.412408,1.249919,0.000000,6.261108
0.020000,1.277346,0.686742,0.826571,1.437407,1.249919,-0.000000,6.260674
0.020000,1.306336,0.686083,0.855570,1.462405,1.249919,0.000000,6.260257
0.020000,1.335827,0.685401,0.885068,1.487404,1.249919,-0.000000,6.259860
0.020000,1.365816,0.684696,0.915066,1.512402,1.249919,0.000000,6.259482
0.020000,1.396306,0.683967,0.945564,1.537400,1.249919,0.000000,6.259127
0.020000,1.427295,0.683216,0.976562,1.562399,1.249919,-0.000000,6.258794
0.020000,1.458783,0.682443,1.008060,1.587397,1.249919,0.000000,6.258486
0.020000,1.490771,0.681648,1.040058,1.612396,1.249919,-0.000000,6.258203
0.020000,1.523259,0.680832,1.072556,1.637394,1.249919,0.000000,6.257948
0.020000,1.556246,0.679996,1.105553,1.662392,1.249919,-0.000000,6.257722
0.020000,1.589733,0.679140,1.139051,1.687391,1.249919,-0.000000,6.257526
0.020000,1.623719,0.678264,1.173049,1.712389,1.249919,0.000000,6.257362
0.020000,1.658206,0.677371,1.207547,1.737387,1.249919,-0.000000,6.257231
0.020000,1.693191,0.676461,1.242544,1.762386,1.249919,0.000000,6.257135
0.020000,1.728677,0.675535,1.278042,1.787384,1.249919,-0.000000,6.257075
0.020000,1.764662,0.674595,1.314040,1.812383,1.249919,0.000000,6.257054
0.020000,1.801148,0.673642,1.350538,1.837381,1.249919,-0.000000,6.257073
0.020000,1.838133,0.672677,1.387535,1.862379,1.249919,-0.000000,6.257132
0.020000,1.875618,0.671702,1.425033,1.887378,1.249919,0.000000,6.257235
0.020000,1.913602,0.670718,1.463030,1.912376,1.249919,-0.000000,6.257383
0.020000,1.952087,0.669729,1.501528,1.937374,1.249919,0.000000,6.257577
0.020000,1.991072,0.668735,1.540525,1.962373,1.249919,-0.000000,6.257820
0.020000,2.030557,0.667739,1.580023,1.987371,1.249919,0.000000,6.258112
0.020000,2.067236,0.666904,1.620020,2.012370,1.249919,0.000000,6.264698
0.020000,2.107729,0.666362,1.660517,2.037368,1.249919,-0.000000,6.274843
0.020000,2.148726,0.666223,1.701515,2.062366,1.249919,0.000000,0.001506
0.020000,2.190223,0.666485,1.743012,2.087365,1.249919,0.000000,0.011040
0.020000,2.232215,0.667143,1.785009,2.112363,1.249919,-0.000000,0.020245
0.020000,2.274699,0.668193,1.827507,2.137362,1.249919,0.000000,0.029104
0.020000,2.317672,0.669629,1.870504,2.162360,1.249919,-0.000000,0.037600
0.020000,2.361131,0.671442,1.914001,2.187358,1.249919,0.000000,0.045721
0.020000,2.405074,0.673625,1.957998,2.212357,1.249919,-0.000000,0.053449
0.020000,2.449498,0.676166,2.002495,2.237355,1.249919,0.000000,0.060771
0.020000,2.494403,0.679056,2.047492,2.262353,1.249919,0.000000,0.067673
0.020000,2.539785,0.682281,2.092989,2.287352,1.249919,-0.000000,0.074139
0.020000,2.585645,0.685828,2.138986,2.312350,1.249919,0.000000,0.080157
0.020000,2.631982,0.689682,2.185483,2.337349,1.249919,-0.000000,0.085713
0.020000,2.678796,0.693826,2.232480,2.362347,1.249919,0.000000,0.090791
0.020000,2.726087,0.698244,2.279977,2.387345,1.249919,-0.000000,0.095379
0.020000,2.773856,0.702914,2.327974,2.412344,1.249919,-0.000000,0.099463
0.020000,2.822104,0.707818,2.376471,2.437342,1.249919,0.000000,0.103027
0.020000,2.870833,0.712933,2.425468,2.462340,1.249919,-0.000000,0.106057
0.020000,2.919921,0.718223,2.474840,2.474840,0.624960,-31.247976,0.108533
0.020000,2.969001,0.723620,2.524216,2.462781,-0.602928,-61.394361,0.110431
0.020000,3.017709,0.729056,2.573226,2.438223,-1.227887,-31.247976,0.111746
0.020000,3.065919,0.734486,2.621740,2.413225,-1.249919,-1.101590,0.112489
0.020000,3.113629,0.739882,2.669755,2.388227,-1.249919,0.000000,0.112679
0.020000,3.160843,0.745219,2.717269,2.363228,-1.249919,0.000000,0.112332
0.020000,3.207563,0.750471,2.764284,2.338230,-1.249919,0.000000,0.111465
0.020000,3.253792,0.755615,2.810799,2.313231,-1.249919,0.000000,0.110094
0.020000,3.299533,0.760630,2.856813,2.288233,-1.249919,-0.000000,0.108235
0.020000,3.344787,0.765496,2.902328,2.263235,-1.249919,0.000000,0.105902
0.020000,3.389556,0.770194,2.947343,2.238236,-1.249919,-0.000000,0.103110
0.020000,3.433841,0.774705,2.991857,2.213238,-1.249919,0.000000,0.099873
0.020000,3.477644,0.779015,3.035872,2.188240,-1.249919,0.000000,0.096204
0.020000,3.520966,0.783108,3.079387,2.163241,-1.249919,0.000000,0.092119
0.020000,3.563807,0.786971,3.122402,2.138243,-1.249919,0.000000,0.087629
0.020000,3.606168,0.790590,3.164917,2.113244,-1.249919,-0.000000,0.082749
0.020000,3.648048,0.793954,3.206932,2.088246,-1.249919,0.000000,0.077491
0.020000,3.689447,0.797053,3.248447,2.063248,-1.249919,-0.000000,0.071868
0.020000,3.730364,0.799877,3.289462,2.038249,-1.249919,0.000000,0.065895
0.020000,3.770799,0.802419,3.329977,2.013251,-1.249919,0.000000,0.059583
0.020000,3.810751,0.804670,3.369992,1.988253,-1.249919,-0.000000,0.052946
0.020000,3.850218,0.806626,3.409507,1.963254,-1.249919,0.000000,0.045998
0.020000,3.889198,0.808280,3.448522,1.938256,-1.249919,0.000000,0.038752
0.020000,3.927689,0.809628,3.487037,1.913257,-1.249919,0.000000,0.031221
0.020000,3.965690,0.810668,3.525052,1.888259,-1.249919,-0.000000,0.023420
0.020000,4.003198,0.811396,3.562567,1.863261,-1.249919,0.000000,0.015362
0.020000,4.040211,0.811812,3.599582,1.838262,-1.249919,-0.000000,0.007061
0.020000,4.076726,0.811915,3.636098,1.813264,-1.249919,0.000000,6.281717
0.020000,4.112740,0.811706,3.672113,1.788265,-1.249919,0.000000,6.272973
0.020000,4.148252,0.811185,3.707628,1.763267,-1.249919,0.000000,6.264031
0.020000,4.183257,0.810356,3.742644,1.738269,-1.249919,0.000000,6.254903
0.020000,4.217754,0.809220,3.777159,1.713270,-1.249919,0.000000,6.245606
0.020000,4.251738,0.807783,3.811175,1.688272,-1.249919,-0.000000,6.236155
0.020000,4.285209,0.806047,3.844690,1.663274,-1.249919,0.000000,6.226564
0.020000,4.318162,0.804019,3.877705,1.638275,-1.249919,0.000000,6.216849
0.020000,4.350595,0.801705,3.910221,1.613277,-1.249919,0.000000,6.207025
0.020000,4.382505,0.799112,3.942237,1.588278,-1.249919,0.000000,6.197107
0.020000,4.413890,0.796246,3.973752,1.563280,-1.249919,-0.000000,6.187110
0.020000,4.444747,0.793116,4.004768,1.538282,-1.249919,0.000000,6.177050
0.020000,4.475074,0.789731,4.035283,1.513283,-1.249919,-0.000000,6.166941
0.020000,4.504869,0.786099,4.065299,1.488285,-1.249919,0.000000,6.156799
0.020000,4.534130,0.782230,4.094815,1.463287,-1.249919,0.000000,6.146637
0.020000,4.562855,0.778135,4.123831,1.438288,-1.249919,0.000000,6.136470
0.020000,4.591043,0.773823,4.152346,1.413290,-1.249919,0.000000,6.126312
0.020000,4.618692,0.769306,4.180362,1.388291,-1.249919,-0.000000,6.116177
0.020000,4.645802,0.764596,4.207878,1.363293,-1.249919,0.000000,6.106078
0.020000,4.672371,0.759703,4.234894,1.338295,-1.249919,-0.000000,6.096028
0.020000,4.698399,0.754639,4.261410,1.313296,-1.249919,0.000000,6.086039
0.020000,4.723885,0.749417,4.287426,1.288298,-1.249919,0.000000,6.076124
0.020000,4.748830,0.744049,4.312942,1.263299,-1.249919,-0.000000,6.066293
0.020000,4.773233,0.738547,4.337958,1.238301,-1.249919,0.000000,6.056558
0.020000,4.797095,0.732924,4.362474,1.213303,-1.249919,-0.000000,6.046930
0.020000,4.820417,0.727192,4.386490,1.188304,-1.249919,0.000000,6.037417
0.020000,4.843199,0.721363,4.410006,1.163306,-1.249919,0.000000,6.028031
0.020000,4.865443,0.715451,4.433022,1.138308,-1.249919,0.000000,6.018778
0.020000,4.887150,0.709468,4.455538,1.113309,-1.249919,-0.000000,6.009669
0.020000,4.908321,0.703427,4.477554,1.088311,-1.249919,0.000000,6.000710
0.020000,4.928958,0.697338,4.499071,1.063312,-1.249919,0.000000,5.991909
0.020000,4.949062,0.691216,4.520087,1.038314,-1.249919,-0.000000,5.983272
0.020000,4.968637,0.685072,4.540603,1.013316,-1.249919,0.000000,5.974806
0.020000,4.987684,0.678918,4.560619,0.988317,-1.249919,-0.000000,5.966515
0.020000,5.006205,0.672765,4.580136,0.963319,-1.249919,0.000000,5.958406
0.020000,5.024203,0.666626,4.599152,0.938321,-1.249919,0.000000,5.950483
0.020000,5.041680,0.660511,4.617669,0.913322,-1.249919,0.000000,5.942750
0.020000,5.058640,0.654431,4.635685,0.888324,-1.249919,-0.000000,5.935211
0.020000,5.075084,0.648398,4.653202,0.863325,-1.249919,0.000000,5.927869
0.020000,5.091017,0.642421,4.670218,0.838327,-1.249919,-0.000000,5.920728
0.020000,5.106440,0.636511,4.686735,0.813329,-1.249919,0.000000,5.913789
0.020000,5.121356,0.630678,4.702751,0.788330,-1.249919,0.000000,5.907055
0.020000,5.135770,0.624932,4.718268,0.763332,-1.249919,-0.000000,5.900529
0.020000,5.149682,0.619281,4.733285,0.738333,-1.249919,0.000000,5.894211
0.020000,5.163098,0.613734,4.747801,0.713335,-1.249919,0.000000,5.888103
0.020000,5.176019,0.608302,4.761818,0.688337,-1.249919,0.000000,5.882206
0.020000,5.188448,0.602990,4.775335,0.663338,-1.249919,-0.000000,5.876521
0.020000,5.200389,0.597809,4.788352,0.638340,-1.249919,0.000000,5.871049
0.020000,5.211845,0.592765,4.800868,0.613342,-1.249919,-0.000000,5.865790
0.020000,5.222818,0.587866,4.812885,0.588343,-1.249919,0.000000,5.860744
0.020000,5.233311,0.583119,4.824402,0.563345,-1.249919,0.000000,5.855912
0.020000,5.243327,0.578530,4.835419,0.538346,-1.249919,0.000000,5.851294
0.020000,5.252868,0.574107,4.845936,0.513348,-1.249919,0.000000,5.846889
0.020000,5.261938,0.569855,4.855953,0.488350,-1.249919,0.000000,5.842698
0.020000,5.270538,0.565780,4.865470,0.463351,-1.249919,0.000000,5.838719
0.020000,5.278672,0.561887,4.874487,0.438353,-1.249919,0.000000,5.834954
0.020000,5.286341,0.558183,4.883004,0.413355,-1.249919,-0.000000,5.831401
0.020000,5.293548,0.554671,4.891021,0.388356,-1.249919,0.000000,5.828060
0.020000,5.300294,0.551356,4.898538,0.363358,-1.249919,-0.000000,5.824930
0.020000,5.306583,0.548242,4.905555,0.338359,-1.249919,0.000000,5.822012
0.020000,5.312416,0.545334,4.912073,0.313361,-1.249919,0.000000,5.819304
0.020000,5.317794,0.542635,4.918090,0.288363,-1.249919,-0.000000,5.816806
0.020000,5.322719,0.540149,4.923607,0.263364,-1.249919,0.000000,5.814517
0.020000,5.327193,0.537878,4.928624,0.238366,-1.249919,0.000000,5.812438
0.020000,5.331217,0.535825,4.933142,0.213368,-1.249919,0.000000,5.810567
0.020000,5.334792,0.533993,4.937159,0.188369,-1.249919,-0.000000,5.808905
0.020000,5.337920,0.532385,4.940677,0.163371,-1.249919,0.000000,5.807450
0.020000,5.340602,0.531001,4.943694,0.138372,-1.249919,0.000000,5.806203
0.020000,5.342837,0.529844,4.946211,0.113374,-1.249919,0.000000,5.805163
0.020000,5.344629,0.528915,4.948229,0.088376,-1.249919,0.000000,5.804329
0.020000,5.345975,0.528216,4.949746,0.063377,-1.249919,-0.000000,5.803703
0.020000,5.346878,0.527746,4.950764,0.038379,-1.249919,0.000000,5.803283
0.020000,5.347337,0.527507,4.951282,0.013380,-1.249919,-0.000000,5.803069
0.020000,5.347460,0.527443,4.951420,0.000441,-0.646991,30.146386,5.803012
0.020000,5.347464,0.527441,4.951424,0.000000,-0.022032,31.247976,5.803010
0.020000,5.347464,0.527441,4.951424,0.000000,0.000000,1.101590,5.803010
